x_in,y_in,w_in,x_out,y_out,w_out
649.63,-1200.9,-1.3417,215.72,581.49,-400.74
649.12,-1202.4,7.6797,245.66,613.12,-411.71
650.36,-1197.8,11.264,234.92,594.43,-412.58
650.43,-1203.9,2.4263,267.95,610.78,-443.88
1037.8,-1839.5,90.228,470.5,1056.5,-673.37
1022,-1814.5,82.404,268.19,936.46,-579.12
1020.7,-1821.1,79.583,400.71,907.96,-644.63
1038.1,-1877.2,76.421,420.95,1129.7,-644.85
1024.7,-1817.4,138.58,366.59,865.47,-621.33
1024.8,-1818.9,90.416,372.99,882.49,-662.29
79.017,-314.18,768.17,-122.68,169.36,349.63
76.407,-310.9,769.29,-112.58,181.38,367.11
74.862,-307.39,763.78,-120.88,185.54,311.07
79.145,-313.92,765.93,-93.986,191.62,321
76.096,-315.45,765.93,-57.705,156.29,384.38
80.905,-312.24,760.79,-81.637,155.36,397.55
158.2,-487.36,161.54,-76.388,230.27,-37.565
158.12,-486.62,165.43,-61.339,216.53,-42.221
154.98,-486.17,162.73,-60.557,209.61,-40.592
153.8,-498.13,164.65,-68.052,231.32,-42.161
153.8,-498.13,164.04,-68.052,231.32,-41.528
156.69,-492.4,163.47,-64.948,216.89,-39.877
147.53,-481.97,-151.07,10.017,232.13,-104.22
148.18,-483.04,-155.58,27.726,229.78,-121.74
146.55,-481.77,-149.83,17.92,231.67,-104.15
144.86,-482.18,-154.45,22.474,219.18,-111.37
137.97,-488.18,-152.91,19.843,215.39,-109.61
146.92,-486.79,-151.58,23.184,222.25,-106.26
196.19,-602.56,9.9761,-18.519,258.54,-93.384
192.98,-592.95,5.934,-28.173,269.32,-93.765
202.96,-608.39,18.018,11.424,257.38,-105.48
197.66,-598.72,15.347,-34.628,252.53,-87.343
200.92,-604.56,11.082,17.031,266.68,-107.72
194.65,-598.24,6.614,-4.0853,264.47,-104.26
305.38,-896.02,366.8,-41.536,395.87,-142.79
310.18,-881.98,375.02,-36.088,344.11,-109.12
320.99,-893.97,373.69,-28.935,368.67,-131.23
324.27,-908.55,370.13,-34.899,358.58,-133.66
341.55,-924.98,381.51,-39.824,358.68,-132.75
311.33,-902.92,368.44,-20.209,366.83,-148.72
305.19,-981.69,-384.59,225.14,486.64,-285.79
307.88,-964.52,-389.31,181.29,422.9,-314.17
305.81,-991.54,-390.42,184.59,441.97,-302.41
313.57,-964.69,-386.44,212.57,407.96,-321.32
301.3,-965.24,-387.62,178.24,409.28,-295.67
302.26,-969.23,-391.86,202.02,421.06,-318.95
452.24,-1309.2,15.26,276.31,780.65,-336.14
455.57,-1309.4,27.024,155.26,608.35,-293.42
453.39,-1323.3,7.8317,202.19,674,-331.02
451.24,-1309.8,12.013,142.2,681.27,-298
465.48,-1353.8,6.7978,181.03,637.63,-302.23
458.58,-1308,16.387,213.69,674.97,-308.6
